unique_id,razon_social,clientes,year,empleados,sedes,Ventas en millones
1373886,CENTRO COMERCIAL SAN ANDRESITO DEL ORIENTE SAS,1156,2024,119,12,1488.98548061554
1374710,MIS MASCOTAS Y MAS,983,2024,98,9,3843.54823103295
1374970,CHOKO STORE,1051,2024,106,14,3180.47820985378
1375257,ALO NEGOCIOS SAS,994,2024,99,9,1631.21351825856
1376308,PYRHON GROUP S.A.S.,991,2024,99,11,2630.81007818001
1376802,I P S VITAL LIFE INTERNACIONAL S.A.S.,1274,2024,134,10,3236.43629408086
1377328,SUBWAY CAPRI,955,2024,94,12,2525.80299815959
1377384,IMPERMEABILIZACIONES Y CONSTRUCCIONES RUIZ S.A.S,1303,2024,138,4,1627.92256675463
1377957,MUNDO DESTINOS CALI,690,2024,61,10,3024.28982400213
1377984,SUBWAY UNICENTRO OASIS,1117,2024,115,10,1032.41048061764
1378397,ACAR SEGUROS LTDA,1025,2024,103,15,172.345823803477
1379054,UNIVERSAL DE SUMINISTROS CALI,1043,2024,105,11,2479.34963178375
1380350,SUBWAY PREMIER LIMONAR,1076,2024,109,9,2037.174335977
1381101,LOGROS ESTRATEGIA EMPRESARIAL S.A.S.,900,2024,87,11,2538.07041802192
1381131,EVACOL ELITE 2M&W,933,2024,92,9,2275.27664396865
1381237,ANA RICCI ACCESORIOS,796,2024,75,10,1572.0171024756
1381970,VULCANO IMPRESOS Y PUBLICIDAD S A S,786,2024,73,9,2035.73424982011
1382128,BESOLAR,1061,2024,108,8,1679.334500815
1382171,BY3A PERCUSSION ENTRETENIMIENTO,1090,2024,111,12,-970.169686400569
1382378,CHEF EN CASA CALI,1011,2024,101,7,2122.96859547959
1382668,MARDEN CALI BARRIO SANTA HELENA,1184,2024,123,8,1784.48823023644
1382711,CENTRO DE ENSEÑANZA AUTOMOVILISTICA ANDES CAR'S,1410,2024,151,9,1419.4387871867
1382734,TORTAS Y POSTRES LIDO,902,2024,88,11,263.245939387238
1382781,INMOBILIARIA OSPINA DREAM HOME S.A.S.,538,2024,42,11,3169.86304216699
1382810,TORRE D PLATA JOYERIA,1201,2024,125,10,1900.79593535586
1382812,ESTACION DE SERVICIO BUENO MADRID,858,2024,82,9,-106.492285630573
1382960,GRUPO GREEN HOUSE SAS,862,2024,83,9,1767.30580745446
1382966,DPS CONSULTING GROUP S.A.S.,1205,2024,126,12,3019.95994740416
1383064,ADMINISTRAMOS PH CALI,943,2024,93,8,2217.10188953705
1383093,SINERGIA CENTRO FINANCIERO,756,2024,69,8,2130.12432234328
1383094,SEMILLAS DIGITALES,1036,2024,105,8,1507.99485294892
1383188,CLEAN DAY S.A.S,972,2024,97,9,681.464151093237
1383192,AURUM TIMBIQUI,1001,2024,100,9,1533.37152321694
1383227,PROTEGEMOS LA EXCELENCIA A SU SERVICIO,1077,2024,110,11,3319.46818693842
1383234,PANADERITOS DEL HEROE,926,2024,91,12,1591.98238945981
1383237,VINAL CALI,1129,2024,116,8,3454.53247927109
1383261,MAXIREMATES DE TODO PARA TODOS COLOMBIA,956,2024,94,8,3304.43441665329
1383267,TECNOBEST ANDROIDE,1066,2024,108,10,1885.49492350223
1383277,JOYERIA Y VARIEDADES BOLIVAR,1219,2024,127,11,1573.58875360134
1383284,NEWELL BRANDS DE COLOMBIA S.A.S. SUCURSAL CALI,1087,2024,111,10,3396.99992847685
1383302,FUNDACION BANCO DE TEJIDOS HUMANOS TISSUE BANK,935,2024,92,10,2654.6190109471
1383304,LINEA AZUL HOSPITAL EN CASA,1230,2024,129,10,2475.35944473375
1383308,ALMENDRA & CORAL,1199,2024,125,4,2569.28920802602
1383311,ARANGO ARCE,1110,2024,114,13,2019.57984375572
1383313,ISLA TIGOUNE JARDIN PLAZA,1048,2024,106,13,2711.99596170217
1383323,SURTI FRUVER DEL VALLE J.S,874,2024,84,8,1991.06927732061
1383328,ROOFTOP DON JUAN DE LA TORRE,1272,2024,134,12,671.471194985866
1383430,JAG & CU GLOBAL SERVICES,880,2024,85,14,971.731704379269
1383431,EFECTY GALERIA OLIMPICA PORVENIR,1437,2024,155,11,2707.11003143071
1383434,APOYO CREDITICIO,1307,2024,138,11,2348.10633666523
1383444,BANZO S A S,953,2024,94,11,2414.72782093569
1383450,DISTRIBUIDORA DE PAPAS D.C.,795,2024,74,8,1082.91193553235
1383490,DROGUERIA COMFANDI COLON,858,2024,82,13,1683.34517840828
1383496,CAFE RESTAURANT MOSCU,1051,2024,106,7,1499.75535875576
1383497,CAFE RESTAURANT MOSCU,951,2024,94,12,3418.26189257525
1383503,BOTERO E HIJOS,930,2024,91,12,572.346441278468
1383511,GOLD GROUP G&G SAS CALI I,810,2024,76,9,1972.50325029466
1383512,TRAVEL OFFERS,991,2024,99,14,2721.34501397977
1383519,ASMET SALUD EPS SAS VALLE,843,2024,80,9,1592.52310197141
1383553,CDA REVINORTE,666,2024,58,12,3754.39550856969
1383563,DROGUERIA COMFANDI COSMOPLAZA,924,2024,90,8,579.760560060093
1383566,AGENCIA DE VIAJES Y TURISMO COMFANDI - SUPERMERCADO GUADALUPE,1184,2024,123,10,3778.15312982272
1383567,AGENCIA DE VIAJES Y TURISMO COMFANDI - C.C UNICO,885,2024,86,8,2597.42934713474
1383724,EFECTY OLIMPICA TEQUENDAMA,1122,2024,115,10,3152.12328650796
1383742,ADICTOS A LA MODA CALI STORE,676,2024,60,7,1083.99710937907
1383763,SUPERMERCADO COMFANDI EL POBLADO,989,2024,99,8,1432.73713263328
1383793,EMPORIUM GYM,1104,2024,113,10,2000.77836651534
1383796,RAPITIENDA Y CAFETERIA LA NAVE,1060,2024,108,6,1516.90625519324
1383798,NORTE REAL HOTEL,1021,2024,103,13,981.005313349177
1383802,MINIMARKET REDI,872,2024,84,12,396.543499701822
1383822,MUITO SABOR,830,2024,79,6,1259.18749971975
1383833,MAXIS EVENTS,795,2024,74,10,1501.71517749203
1383840,DUSHAYA,1024,2024,103,10,909.893248325034
1383933,CLINICA OFTALMOLOGICA DE PALMIRA CLINICA NORTE,811,2024,76,3,2499.06530859476
1383938,LEGALIZE,902,2024,88,11,1447.62182637177
1383939,TIENDA HELANDIA,949,2024,94,7,-315.366866526269
1383943,C.I COLOMBIA COMERCIA E.O SAS CALI,1369,2024,146,5,1929.44460616247
1383954,CRUZ GOMEZ INVERSIONES SAS,870,2024,84,9,1752.97070199236
1383958,HELADERIA LA 75 CHIPICHAPE,1047,2024,106,9,2840.08522211107
1383960,SEABELT,1016,2024,102,7,1459.98550635578
1383965,SECRET ORCHID COLOMBIA S.A.S,808,2024,76,11,1976.61055658273
1383998,"CALIPARTES, CAMIONES Y REPUESTOS MULTIMARCAS S.A.S",986,2024,98,10,1021.80193967149
1384009,BUÑUELOS RELLENOS.CALI,1289,2024,136,12,2338.29839056132
1384040,MESTARI F.C.,1090,2024,111,11,983.905225386544
1384061,INNOVA EXPRESS MULTISERVICIOS CALI,1008,2024,101,9,4332.35570596804
1384074,DROGUERIA COMFANDI LYRATA PLAZA,916,2024,89,6,3195.83232333386
1384078,ELECTRICOS Y ACCESORIOS J & E,589,2024,49,13,896.393858606267
1384082,DISTRIFLEC MONTEROJO GOURMET,1226,2024,128,7,2529.33284980228
1384098,DISTRIFLEC MONTEROJO GOURMET,708,2024,63,8,2157.76322093913
1384101,PUENTES ORTEGA SEDE CALI,1148,2024,118,7,1167.19942683743
1384105,ELSA RICURAS RESTAURANTE BAR,1382,2024,148,14,3158.12326877682
1384109,KAPITAL TRIBUTARIO,711,2024,64,6,3099.59318321917
1384112,TRANSPORTES J L SEGUROS SAS,1140,2024,118,13,2074.65056863642
1384119,MIMASCOTAPP COLOMBIA,948,2024,93,14,1227.78155214985
1384124,DROGUERIA COMFANDI C.C LA ESTACION,686,2024,61,11,2501.32649885946
1384127,LA BODEGA DEL PVC CALI,697,2024,62,11,4104.10129197762
1384129,E.D.S. GUADUALES,680,2024,60,7,2310.78605333658
1384134,PARQUEADERO SUCRE 11 B,894,2024,87,9,62.2041096205542
1384140,VIVE INMOBILIARIA BY CLAUDIA RIVERA,708,2024,63,12,1106.37441899674
1384149,UNIPAR ALQUILERES DE COMPUTADORES CALI,1138,2024,117,10,2869.45195787157
1384251,TOXIC'S MODA'S JOYERIA Y ACCESORIOS,1420,2024,153,15,1197.87286089505
1384265,HELADERIA CC PALMETTO NIVEL1,743,2024,68,16,3964.62859870089
1384267,LA SIFRINA YUBIRI,1158,2024,120,11,3070.19591701106
1384305,SERVICIOS TURISTICOS AMASIA,1154,2024,119,9,25.0177804526456
1384324,LA 23 LICORES,1066,2024,108,11,501.190266373639
1384329,TRANSPORTES UNIDOS DE CARGA LOGIFUTURO SAS CALI,798,2024,75,12,1834.54133155371
1384330,CORREDOR ECO - TURISTICO  DE AVENTURAS Y EXPERIENCIAS POR LA CUMBRE TRAVEL,976,2024,97,14,3701.42537999647
1384331,ENKICELL,944,2024,93,9,3056.18981460803
1384335,RANCHO Y LICORES WILLI MARG,1113,2024,114,10,1478.24604269939
1384336,IMPORTADORA Y COMERCIALIZADORA DE TECNOLOGIA SAS IMCOTEC,926,2024,91,11,2895.21579739857
1384337,ARPATEL SISTEMAS & CO S.A.S.,1195,2024,124,11,2836.24539605055
1384338,URBAN AUTO SERVICE S.A.S,925,2024,91,8,1643.6562550106
1384341,APARTAMENTOS TEQUENDAMA,1211,2024,126,10,3361.18356856578
1384344,VISSION A J,790,2024,74,9,1624.9906862172
1384347,HOTEL WINDSOR CSI,748,2024,68,14,2262.13744008326
1384349,SERVICIOS Y TECNOLOGIA DE COLOMBIA SAS,1648,2024,181,10,3069.11116877917
1384351,SUPERMARKET PRIMOS,917,2024,90,6,2118.91459319249
1384353,VIDVIECALI,1060,2024,107,15,1554.61125480071
1384358,OLFABRAND JARDIN PLAZA,1127,2024,116,6,1368.42052532754
1384359,UPESUR CALI S.A.S.,903,2024,88,6,1565.72580464039
1384364,HARLEY SALAZAR,1103,2024,113,11,2195.199093565
1384368,SUPLEMAX 8,1074,2024,109,9,3185.08116360725
1384370,ENERGIA LIMPIA Y EFICIENTE SAS ESP,957,2024,95,7,2586.41389081458
1384374,ANGEL AMBIENTAL SAS,1013,2024,102,10,755.078787950573
1384380,THE FOOD PALACE,993,2024,99,9,2469.58384382563
1384383,JAVIFINAN-SER,1426,2024,153,5,2782.2729846676
1384386,SAM'S FOOD,852,2024,81,11,2579.88062585391
1384388,SKYLINE SOUTH,781,2024,73,14,3227.97686362273
1384389,MALCONST,1008,2024,101,12,771.585504877167
1384391,BARRA Y LICORES FABER,1062,2024,108,13,2267.7222897897
1384394,AVAL TOURS,1087,2024,111,12,686.464072996774
1384400,PELETERIA RODRIGUEZ NJ,908,2024,89,11,2947.71834324555
1384405,ACADEMIA NACIONAL DE SEGURIDAD PRIVADA CLAVE,787,2024,73,10,1530.65579095597
1384410,MUEBLES Y MADERAS JHONNY 2,1253,2024,132,6,2657.52368160051
1384499,EUROPORTUARIA SAS,930,2024,91,7,1160.70874068971
1384505,TIENDA DEPORTIVA EL MARATON,827,2024,78,10,2040.10700809221
1384507,FERRETERIAS UNIDAS N° 1,953,2024,94,5,2311.3555496509
1384512,LIFE STYLE OPTICAL,961,2024,95,10,1396.10092248938
1384522,PACHITOS PANADERIA Y RESTAURANTE,1222,2024,128,8,1216.53118166365
1384546,GRETTA¿S STEAK HOUSE,1017,2024,102,15,1777.7398011289
1384552,ZAMORACO 3,1151,2024,119,13,1870.27481687251
1384556,ZAMORACO,900,2024,88,9,1573.28307978807
1384560,DISTRIBUIDORA MAKRO CALI,1043,2024,105,11,2081.85208609707
1384566,PUNTO ELECTRICO LUXURY,935,2024,92,5,4471.10473952951
1384569,DOMINOS PIZZA VALLE DE LILI,1019,2024,102,6,1420.60163377612
1384571,TIMCOF GROUP,821,2024,78,12,1668.47328761447
1384584,TPN TELEPROTECCION,738,2024,67,10,1535.06725001393
1400534,ALMACEN PREMIUM,1399,2024,150,7,-39.6855073805723
1408042,CASA MEDICA DEL SUR,1120,2024,115,11,2582.0110660097
1413271,INVERSIONES VILOREN¿S,750,2024,69,11,1834.64212020372
1429676,OPTICA OPTI SALUD,878,2024,85,10,3200.53542927583
1452593,SURTIESCOBILLAS OSPINA,763,2024,70,11,2704.93856203577
1452686,FRUTY SABOR DEL VALLE,1440,2024,155,8,2933.1985174427
1453518,BILLARES TRANQUILANDIA,1262,2024,133,8,3378.51306632919
1454532,COMERCIALIZADORA AGROPET¿S,947,2024,93,8,-331.683352737891
1454801,PIZZERIA Y WAFFLERIA DULSADOS,1109,2024,114,9,2210.64762461263
1454821,PONTE AL DIA SALUD FINANCIERA,917,2024,90,11,165.322060908584
1454919,ECO - MASCOTAS,905,2024,88,11,1615.36757718216
1454932,CASA HOSTAL CRISTALES,842,2024,80,4,1207.90712801644
1454947,VIVIANA AGUDELO BEAUTY,881,2024,85,10,3564.61485469982
1454950,EL CASTILLO TE VISTE,1330,2024,141,11,2858.8657152668
1454962,BI. LANKA,989,2024,99,12,1034.53208337713
1454970,DETALLES CORDOBA,1024,2024,103,15,2136.50631657964
1454975,MINI BURGERS AND SOMETHING ELSE,1049,2024,106,11,2520.08057342837
1454985,EBM ADECUACIONES CIVILES,1246,2024,131,5,2628.92100342963
1454999,PAPELERIA Y MISCELANEA BETTY,897,2024,87,10,1344.93420458754
1455004,VALLE LLANTAS,801,2024,75,5,2344.7005600365
1455020,SER.TEC.MON,1335,2024,142,15,2686.31202322916
1455030,FAMIVIVIR NATURAL,912,2024,89,15,2250.42056104256
1455035,MISCELANEA LICORES VARIOS.LUZ AMPARO.,855,2024,82,12,1069.68879651331
1455039,DEDITOS CALI,753,2024,69,7,3849.65890375398
1455045,DYA PROYECTOS ARQUITECTURA Y DISEÑO,743,2024,68,8,3350.67373939164
1455058,ESTAMPADOS YOSMAR,885,2024,86,13,614.696609191399
1455061,JAM ROCK CAFE,1124,2024,115,7,3954.67726510323
1455063,CRAZY YOUNG STORE,1222,2024,128,11,3829.10775655693
1455069,HILDA LUCIA OREJUELA PELUQUERIA,1142,2024,118,10,719.778366307047
1455076,CHIPS BURGUER 100% ANGUS,927,2024,91,14,1604.97161859072
1455082,ORGANIZACION DEMI,1012,2024,101,8,2231.77234124101
1455083,KING.PERFUMERY,859,2024,82,9,1623.51345920037
1455084,COMPRAVENTA EL NAZARENO SAS,857,2024,82,12,3691.46618859551
1455093,CERTIFICACIONES RETIE SAS,1177,2024,122,7,2642.78951930984
1455098,ECO CDA SAS,797,2024,75,10,2133.14301657786
1455103,CARNES Y AVICOLA GA,1391,2024,149,11,1110.64078217132
1455106,QUESERA LOPEZ,982,2024,98,7,861.544310787428
1455115,KIOSKO KOLO,1043,2024,105,7,1067.7004220652
1455116,INNOVACIONES MADERA,852,2024,82,14,1393.65385597524
1455120,D¿YOLY VARIEDADES,885,2024,86,10,1644.7559531801
1455122,LANGOSTINOS Y MARISCOS EL BARCO,737,2024,67,10,3995.40117579196
3013597,COMPRA VENTA CALIMA,963,2024,95,15,4824.00586294441
3013749,INVERSIONES BRUNICO SAS,1084,2024,110,8,1902.89077524077
3013758,FUMIGADORA LA CUCARACHA,1065,2024,108,14,2058.06442081237
3013759,RINCON CASTRO ROMULO DE JESUS,844,2024,80,6,2057.88444797202
3013790,SCOTIABANK COLPATRIA S.A. - AVENIDA 6 - CALI,842,2024,80,10,3291.69471791116
3013834,AXA COLPATRIA CAPITALIZADORA S.A. SUCURSAL CALI,900,2024,87,7,2342.6354171092
3013845,ALMACEN JAEL,1299,2024,137,6,2242.99694042586
3013911,LA REBAJA PLUS MINIMARKET DROGUERIA NRO 22 CALI,773,2024,72,11,1621.69304500959
3013931,VULCANIZADORA CRUZ,964,2024,96,13,1814.73669222755
3013971,COMESTIBLES COLOMBIA-COMESCOL,1380,2024,148,11,4369.29457746909
3013987,MERCADO LA MONTAÑA,980,2024,97,8,3550.59586210129
3014011,AGROPECUARIA MARUAL,728,2024,66,7,2820.19981318447
3014018,PACIFICO EXTREMO,867,2024,83,6,2728.36824402036
3014036,CONFECCIONES KORAJE,1097,2024,112,11,3605.53085109234
3014052,LABORATORIO DENTAL FRANCO,925,2024,91,9,3807.76891634963
3014074,MARIA EUGENIA BENITEZ MISCELANEA,888,2024,86,11,2014.15620085666
3014085,MANJAR BLANCO SUPER MEJOR,931,2024,91,15,2864.59288050153
3014087,INTERGRAFIC DE OCCIDENTE,1018,2024,102,12,1923.11349208724
3014097,MARTINEZ ANA DILDE,1320,2024,140,3,1667.66998314249
3014100,PELUQUERIA JULIETA UNISEX,982,2024,98,8,1140.23344434619
3014108,EL OPITA,1216,2024,127,11,1913.39125658415
3014178,SEJNAUI COLLECTION 1,1126,2024,116,10,94.5814155513253
3014215,LAVANDERIA LONDRES,977,2024,97,9,910.564795106772
3014264,ADECCO COLOMBIA S.A.,693,2024,62,6,4441.33781048829
3014272,COLMUNDO RADIO S A LA CADENA DE LA PAZ,896,2024,87,14,990.389166191547
3014280,HENAO OCAMPO MARIO,902,2024,88,9,2218.07939584691
3014319,TOBAR LUIS ANTONIO,1009,2024,101,10,3237.55481729044
3014403,LINEAS CONSUL PALMASECA S.A.,1260,2024,133,13,1885.31755672406
3014500,TIENDA DE VIVERES MICKEY,1459,2024,157,6,1635.23966340096
3014502,"PEREZ, VICTORIA Y CIA LTDA CONSULTORES DE SEGUROS",1310,2024,139,8,497.674436655143
3014506,INVERSIONES APOLO LTDA.,973,2024,97,10,624.758557705408
3014529,RODOLFO SPATARO NAPOLI S.A.S.,649,2024,56,7,2744.21502110647
3014557,ICONICA HOME GALLERY,922,2024,90,6,1921.81050361631
3014572,INCIVIL,1018,2024,102,8,2642.3418228709
3014591,COMPRA VENTA EL PINO,1169,2024,121,8,3525.60170320443
3014617,CREACIONES NAPOL,1193,2024,124,10,1111.2036021876
3014674,LUVAR,1137,2024,117,9,3328.82760072488
3014679,MAQUINARIA DE CONSTRUCCION,721,2024,65,11,2905.3459633327
3014802,SUPERMERCADO LA MILAGROSA,1170,2024,121,14,2419.99576245135
3014825,MISCELANEA VIDAL,911,2024,89,15,2735.66534979936
3014844,INVERSIONES RODRIGUEZ ARBELAEZ Y CIA.,1035,2024,104,8,1743.69527062766
3014905,INVERSIONES SILVA ORTIZ CIA S EN C,1015,2024,102,8,-14.1335353459961
3014910,ALMACEN LUIS CARLOS MANRIQUE,1086,2024,111,10,1692.05734403945
3014918,MISCELANEA GRANADA,1005,2024,101,14,2918.57202035844
3014966,SOLEQUIPOS,667,2024,58,12,1513.27718193151
3015181,GLOBOS Y BOMBAS 3,1147,2024,118,10,2326.94559920411
3015306,ASESORIAS Y REPRESENTACIONES BERMUDEZ SALAZAR Y CIA,1077,2024,110,8,2847.60702122199
3015424,COMERCIALIZADORA DE HORTALIZAS FRUTAS Y VERDURAS LUIS FERNANDO MAFLA,947,2024,93,15,2858.10917668776
3015526,MATERCON,1024,2024,103,7,2544.04478787898
3015690,PALMAS DEL PACIFICO,1027,2024,103,9,1655.9363285799
3015738,TRANSFORMADORES,1044,2024,106,7,2296.49714563353
3015810,BILLARES LUCAS,1328,2024,141,10,1177.97873177931
3015836,RINCON BERGMAN,956,2024,95,16,3052.31989921021
3015931,RESIDENCIAS HARCAY,1034,2024,104,13,1111.27344361129
3016412,LUIS EVELIO SAAVEDRA & CIA LTDA ASESORES DE SEGUROS,1234,2024,129,11,4109.75051300459
3016461,COLEGIO HERNANDO CAICEDO,1211,2024,126,10,4024.05040647
3016509,DISTRIBUIDORA DE DROGAS LA REBAJA PRINCIPAL,1229,2024,129,6,2587.73635840857
3016581,DIARIO EL CALENO,885,2024,86,11,2873.16793049771
3016624,IMAGINACIONES ARTE Y ENMARCACION,1400,2024,150,14,2946.98274142388
3016643,SEGURIDAD COMERCIAL DE COLOMBIA LTDA,1013,2024,102,11,1920.4202359475
3016680,SALAZAR GALLO Y CIA,1373,2024,147,9,2411.31872493052
3016753,IRAGORRI & CIA S C S PRODUCTOS ALIMENTICIOS INGEX COLOMBIA,730,2024,66,12,792.842638339735
3016773,CENTRO DOCENTE JULIO ARBOLEDA,1004,2024,101,10,2017.54877836431
3016824,DROGUERIA MANLER,1250,2024,131,10,-464.268951340931
3016840,ACOSTA DE GARCIA ADELA,857,2024,82,12,2457.34749247708
3016845,SERVICIALES,849,2024,81,7,2338.73338572157
3016891,POLAR,812,2024,77,11,2899.25394603004
3016934,DISEÑOS E IMAGENES SAS,789,2024,74,6,1830.32001513818
3016954,HOTEL EL GRAN TERMINAL,913,2024,89,17,1461.88131968529
3017088,CONSTRUCCIONES E INVERSIONES EL DIAMANTE,1066,2024,108,10,489.229662570484
3017174,TALLER LA 22,597,2024,50,6,1483.00090026917
3017191,PRODUCTOS COMESTIBLES LA BLANCA,1042,2024,105,7,-458.265751783076
3017279,LA CASA DEL MECATO,1247,2024,131,12,1744.43146491393
3017360,FARMADEX,1408,2024,151,5,2459.59017779826
3017448,MERCADOS SANTA FE,1260,2024,133,7,3261.46920010154
3017455,AMBIENTE LIMPIO CALI,1151,2024,119,8,2615.27157625118
3017497,SUPERTIENDA MISCELANEA ANDRES,655,2024,57,8,2126.18422197249
3017578,PANADERIA Y CAFETERIA VIVIANA,880,2024,85,13,1057.73815001198
3017683,EDUARDO CALDERON 3,930,2024,91,8,1053.11105794915
3017828,METALICAS INTER,1141,2024,118,7,1741.44442975913
3017890,OSCAR LUCUMI AUTOMOTRIZ,979,2024,97,12,1643.54417524688
3018075,PELUQUERIA DORANCE,748,2024,69,14,2472.52706367738
3018094,DISTRICINTAS CENTRO,1337,2024,142,14,2567.88009634384
3018246,FARMACIA Y DROGUERIA DROGAS MIL,1182,2024,123,11,3363.89172984361
3018265,MINIMARKET EL PALMAR DE COOMEVA,1047,2024,106,13,3239.34959815262
3018336,PEDRO VALLEJO SUCESORES & CIA,1244,2024,130,13,338.04251666338
3018380,AUDIO ACUSTICA CALI,732,2024,67,7,1599.27360596376
3018407,POR SALUD,1132,2024,117,8,3647.05712515678
3018422,SM LINGERIE SOLOMEDIAS CHIPICHAPE,895,2024,87,9,1562.71347128499
3018442,INDUSTRIAS METALICAS EL DISEÑO,1137,2024,117,10,1513.33664901991
3018447,HELMAN Y DANA,988,2024,98,9,-23.9153398924357
3018461,SILENCIADORES LA SULTANA,1127,2024,116,13,2266.61005875873
3018470,ORIENTAR ASESORIAS CONTABLES TRIBUTARIAS Y JURIDICAS,1267,2024,133,7,840.852015089318
3018472,JUEGO DE SAPO EL CAFETALITO,1001,2024,100,6,2367.83104632281
3018476,CASA DA TROYA E.U.,1204,2024,125,13,1336.78095689963
3018684,PREMADERAS RAMIREZ DUQUE,762,2024,70,12,2055.95982629799
3018697,MAZO TAMURA Y CIA,856,2024,82,8,1680.95474876057
3018745,HOTEL INTERCONTINENTAL CALI,1304,2024,138,11,4154.93779200227
3018780,ECAZA CONSTRUCCIONES,1075,2024,109,9,2508.0072411392
3018796,INCUBADORA ASES LTDA.,590,2024,49,12,440.218307482211
3018938,URGENCIAS ELECTRICAS Y TELEFONICAS,727,2024,66,8,1219.99069714158
3018996,RESTAURANTE SABORES MI REY,960,2024,95,7,534.51134068524
3019038,BRITILANA BENREY,1173,2024,122,15,1722.28115000339
3019150,CENTRO VETERINARIO DOCTOR NAVARRO,980,2024,97,11,3194.41032902823
3019169,HOTEL RESIDENCIA MR VARGAS,1125,2024,116,10,1914.67936390549
3019208,BILLARES EL NATO,1192,2024,124,14,1881.60675406648
3019388,ALTERNATIVAS DOMESTICAS E INDUSTRIALES N.A.G.B,1334,2024,142,9,650.276954629886
3019394,DECO ALPING,1011,2024,101,12,1586.92521906959
3019403,MISCELANEA SILVANA,990,2024,99,8,2622.89262551097
